학년,교과목명,학점,시간,N/P과목,담당교수,강좌번호,신청인원,제한인원,강의시간,비고,강의계획서
전학년,성서와인간이해,2,2,N,강안일,5001,0,55,수 09:00~10:50 (S1221),,
전학년,성서와인간이해,2,2,N,박광우,5002,0,55,목 10:00~11:50 (S1221),,
전학년,성서와인간이해,2,2,N,박광우,5003,0,55,월 13:00~14:50 (S1221),,
전학년,성서와인간이해,2,2,N,박광우,5004,0,55,화 14:00~15:50 (S1221),,
전학년,성서와인간이해,2,2,N,박종현,5005,0,55,화 13:00~14:50 (S4115),,
전학년,성서와인간이해,2,2,N,조내연,5006,0,55,목 10:00~11:50 (S1233),,
전학년,성서와인간이해,2,2,N,조내연,5007,0,55,수 14:00~15:50 (S1233),,
전학년,성서와인간이해,2,2,N,조내연,5008,0,55,화 14:00~15:50 (S1233),,
전학년,성서와인간이해,2,2,N,조미라,5009,0,55,목 12:00~13:50 (S4115),,
전학년,성서와인간이해,2,2,N,조미라,5010,0,55,목 14:00~15:50 (S4115),,
전학년,성서와인간이해,2,2,N,박용수,5011,0,100,금 16:00~17:50 (),"경영대학 글로벌비즈니스학전공 전용강좌, 중국어",
전학년,성서와인간이해,2,2,N,김진옥,5012,0,250,,"미래융합대학 전용강좌, 온라인(원격수업)",❌
전학년,채플,0,1,Y,교목실S,5013,0,400,수 11:00~11:50 (S11001),N/P,
전학년,채플,0,1,Y,교목실S,5014,0,400,수 12:00~12:50 (S11001),N/P,
전학년,채플,0,1,Y,교목실S,5015,0,400,수 16:00~16:50 (S11001),N/P,
전학년,채플,0,1,Y,교목실S,5016,0,400,수 17:00~17:50 (S11001),N/P,
전학년,채플,0,1,Y,교목실S,5017,0,400,화 11:00~11:50 (S11001),N/P,
전학년,채플,0,1,Y,교목실S,5018,0,400,화 12:00~12:50 (S11001),N/P,
전학년,채플,0,1,Y,교목실S,5019,0,400,화 16:00~16:50 (S11001),N/P,
전학년,채플,0,1,Y,교목실S,5020,0,400,화 17:00~17:50 (S11001),N/P,
전학년,채플,0,1,Y,교목실S,5021,0,400,수 19:30~20:15 (S11001),"미래융합대학 전용강좌, N/P",
전학년,현대사회와기독교윤리,2,2,N,조내연,5022,0,55,월 10:00~11:50 (S1233),,
전학년,현대사회와기독교윤리,2,2,N,강안일,5023,0,55,수 11:00~12:50 (S1221),아너칼리지 자율전공학부(인문) 전용강좌,
전학년,현대사회와기독교윤리,2,2,N,박광우,5024,0,55,월 10:00~11:50 (S1221),,
전학년,현대사회와기독교윤리,2,2,N,박종현,5025,0,55,화 15:00~16:50 (S4115),,
전학년,현대사회와기독교윤리,2,2,N,백성우,5026,0,55,수 14:00~15:50 (S1221),아너칼리지 자율전공학부(인문) 전용강좌,❌
전학년,현대사회와기독교윤리,2,2,N,소요한,5027,0,55,수 10:00~11:50 (S4525),아너칼리지 자율전공학부(인문) 전용강좌,❌
전학년,현대사회와기독교윤리,2,2,N,소요한,5028,0,55,화 10:00~11:50 (S4525),,❌
전학년,현대사회와기독교윤리,2,2,N,손승호,5029,0,55,수 13:00~14:50 (S4115),아너칼리지 자율전공학부(인문) 전용강좌,
전학년,현대사회와기독교윤리,2,2,N,손승호,5030,0,55,수 15:00~16:50 (S4115),아너칼리지 자율전공학부(인문) 전용강좌,
전학년,현대사회와기독교윤리,2,2,N,송훈,5031,0,55,화 13:00~14:50 (S4112),,
전학년,현대사회와기독교윤리,2,2,N,송훈,5032,0,55,화 15:00~16:50 (S4112),,
전학년,현대사회와기독교윤리,2,2,N,오화철,5033,0,55,목 13:00~14:50 (S4112),,❌
전학년,현대사회와기독교윤리,2,2,N,이명훈,5034,0,55,화 13:00~14:50 (S4327),,
전학년,현대사회와기독교윤리,2,2,N,이명훈,5035,0,55,화 15:00~16:50 (S4327),,
전학년,현대사회와기독교윤리,2,2,N,김진옥,5036,0,200,,"미래융합대학 전용강좌, 온라인(원격수업)",❌
전학년,종교와과학,2,2,N,장재호,5037,0,55,수 09:00~10:50 (S1233),,
전학년,종교와과학,2,2,N,장재호,5038,0,55,수 11:00~12:50 (S1233),,
전학년,글쓰기,3,3,N,주민재,5039,0,30,월 12:00~13:15 (S1254)  수 12:00~13:15 (S1254),외국인학생의 경우 Topik 4-5급 이상만 수강가능,
전학년,글쓰기,3,3,N,최규수,5040,0,30,월 10:30~11:45 (S1325)  수 10:30~11:45 (S1325),외국인학생의 경우 Topik 4-5급 이상만 수강가능,
전학년,글쓰기,3,3,N,최규수,5041,0,30,월 12:00~13:15 (S1325)  수 12:00~13:15 (S1325),외국인학생의 경우 Topik 4-5급 이상만 수강가능,
전학년,글쓰기,3,3,N,최규수,5042,0,30,월 13:30~14:45 (S1325)  수 13:30~14:45 (S1325),외국인학생의 경우 Topik 4-5급 이상만 수강가능,
전학년,글쓰기,3,3,N,최규수,5043,0,30,월 15:00~16:15 (S1325)  수 15:00~16:15 (S1325),외국인학생의 경우 Topik 4-5급 이상만 수강가능,
전학년,글쓰기,3,3,N,최규수,5044,0,30,화 13:30~14:45 (S1325)  목 13:30~14:45 (S1325),외국인학생의 경우 Topik 4-5급 이상만 수강가능,
전학년,글쓰기,3,3,N,최규수,5045,0,30,화 15:00~16:15 (S1325)  목 15:00~16:15 (S1325),외국인학생의 경우 Topik 4-5급 이상만 수강가능,
전학년,글쓰기,3,3,N,육민수,5046,0,30,화 10:30~11:45 (S4507)  목 10:30~11:45 (S4507),외국인학생의 경우 Topik4-5급 이상만 수강 가능,
전학년,글쓰기,3,3,N,육민수,5047,0,30,화 12:00~13:15 (S4507)  목 12:00~13:15 (S4507),외국인학생의 경우 Topik4-5급 이상만 수강 가능,
전학년,글쓰기,3,3,N,이영아,5048,0,30,월 13:30~14:45 (S1209)  수 13:30~14:45 (S1209),외국인학생의 경우 Topik4-5급 이상만 수강 가능,
전학년,글쓰기,3,3,N,이영아,5049,0,30,월 15:00~16:15 (S1209)  수 15:00~16:15 (S1209),외국인학생의 경우 Topik4-5급 이상만 수강 가능,
전학년,글쓰기,3,3,N,김지연,5050,0,30,월 15:00~16:15 (S4427)  수 15:00~16:15 (S4427),,❌
전학년,글쓰기,3,3,N,김우필,5051,0,32,토 09:00~11:50 (),미래융합대학 2026학번 신입생 전용강좌,
전학년,글쓰기,3,3,N,김우필,5052,0,32,토 13:00~15:50 (),미래융합대학 2026학번 신입생 전용강좌,
전학년,글쓰기,3,3,N,이현주,5053,0,32,,미래융합대학 2026학번 신입생 전용강좌,❌
전학년,글쓰기,3,3,N,이현주,5054,0,32,,미래융합대학 2026학번 신입생 전용강좌,❌
전학년,글쓰기,3,3,N,김택호,5055,0,32,토 09:00~11:50 (),미래융합대학 2026학번 신입생 전용강좌,
전학년,글쓰기,3,3,N,김택호,5056,0,32,토 13:00~15:50 (),미래융합대학 2026학번 신입생 전용강좌,
전학년,글쓰기,3,3,N,문원경,5057,0,25,화 10:00~12:45 (S4115),미래융합대학 웝툰콘텐츠학과 전용강좌,
전학년,글쓰기,3,3,N,이현우,5058,0,30,토 09:00~11:50 (),미래융합대학 2026학번 신입생 전용강좌,
전학년,글쓰기,3,3,N,이현우,5059,0,30,토 13:00~15:50 (),미래융합대학 2026학번 신입생 전용강좌,
전학년,글쓰기,3,3,N,천춘화,5060,0,30,화 12:00~14:45 (S4217),외국인학생 전용강좌,
전학년,글쓰기,3,3,N,천춘화,5061,0,30,화 15:00~17:45 (S4217),외국인학생 전용강좌,
전학년,글쓰기,3,3,N,변성연,5062,0,30,월 13:30~16:15 (S4217),"외국인학생 전용강좌, 원어강의(중국어)",❌
전학년,발표와토의,3,3,N,장혜영,5063,0,30,화 13:30~14:45 (S1321)  목 13:30~14:45 (S1321),외국인학생의 경우 TOPIK4-5급 이상만 수강 가능,
전학년,발표와토의,3,3,N,장혜영,5064,0,30,화 15:00~16:15 (S1321)  목 15:00~16:15 (S1321),외국인학생의 경우 TOPIK4-5급 이상만 수강 가능,
전학년,발표와토의,3,3,N,주민재,5065,0,30,화 12:00~13:15 (S1254)  목 12:00~13:15 (S1254),외국인학생의 경우 Topik4-5급 이상만 수강 가능,
전학년,발표와토의,3,3,N,육민수,5066,0,30,월 15:00~16:15 (S4507)  수 15:00~16:15 (S4507),외국인학생의 경우 Topik4-5급 이상만 수강 가능,
전학년,발표와토의,3,3,N,육민수,5067,0,30,월 16:30~17:45 (S4507)  수 16:30~17:45 (S4507),외국인학생의 경우 Topik4-5급 이상만 수강 가능,
전학년,발표와토의,3,3,N,이영아,5068,0,30,화 15:00~16:15 (S1209)  목 15:00~16:15 (S1209),외국인학생의 경우 Topik4-5급 이상만 수강 가능,
전학년,발표와토의,3,3,N,이영아,5069,0,30,화 16:30~17:45 (S1209)  목 16:30~17:45 (S1209),외국인학생의 경우 Topik4-5급 이상만 수강 가능,
전학년,발표와토의,3,3,N,이현주,5070,0,30,수 12:00~14:45 (),외국인학생 전용강좌,❌
전학년,발표와토의,3,3,N,이현주,5071,0,30,수 15:00~17:45 (),외국인학생 전용강좌,❌
전학년,영어1,2,2,N,전미경,5072,0,32,월 10:00~10:50 (S1246)  수 10:00~10:50 (S1246),,
전학년,영어1,2,2,N,전미경,5073,0,32,월 11:00~11:50 (S1246)  수 11:00~11:50 (S1246),,
전학년,영어1,2,2,N,전미경,5074,0,32,월 12:00~12:50 (S1246)  수 12:00~12:50 (S1246),,
전학년,영어1,2,2,N,전미경,5075,0,32,월 14:00~14:50 (S1246)  수 14:00~14:50 (S1246),,
전학년,영어1,2,2,N,전미경,5076,0,32,월 15:00~15:50 (S1246)  수 15:00~15:50 (S1246),,
